Region,Category,Name,Price,Image URL,Link
UK,Beds,,25,https://www.ikea.com/gb/en/images/products/raskog-trolley-white__1366921_pe957210_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/raskog-trolley-white-00586789/
UK,Beds,,8,https://www.ikea.com/gb/en/images/products/vesken-trolley-black__0832005_pe777545_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/vesken-trolley-black-60471224/
UK,Beds,,329,https://www.ikea.com/gb/en/images/products/tornviken-kitchen-island-grey-oak__0736816_pe740759_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/tornviken-kitchen-island-grey-oak-80393372/
UK,Beds,,17,https://www.ikea.com/gb/en/images/products/hornavan-trolley-white__0169887_pe325984_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/hornavan-trolley-white-70243873/
UK,Beds,,25,https://www.ikea.com/gb/en/images/products/raskog-trolley-grey-green__1366914_pe957203_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/raskog-trolley-grey-green-50591769/
UK,Beds,,25,https://www.ikea.com/gb/en/images/products/raskog-trolley-grey-blue__1366913_pe957202_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/raskog-trolley-grey-blue-10591766/
UK,Storage,,179,https://www.ikea.com/gb/en/images/products/ekenaeset-armchair-kilanda-light-beige__1109687_pe870153_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/ekenaeset-armchair-kilanda-light-beige-50533492/
UK,Storage,,250,https://www.ikea.com/gb/en/images/products/strandmon-wing-chair-tallmyra-dark-green__0531319_pe647267_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/strandmon-wing-chair-tallmyra-dark-green-30359846/
UK,Storage,,80,https://www.ikea.com/gb/en/images/products/poaeng-armchair-white-stained-oak-veneer-knisa-light-beige__0681526_pe720135_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/poaeng-armchair-white-stained-oak-veneer-knisa-light-beige-s89286612/
UK,Storage,,199,https://www.ikea.com/gb/en/images/products/dyvlinge-swivel-armchair-kelinge-green__1205904_pe907276_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/dyvlinge-swivel-armchair-kelinge-green-50570837/
UK,Storage,,199,https://www.ikea.com/gb/en/images/products/dyvlinge-swivel-armchair-kelinge-black__1205899_pe907271_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/dyvlinge-swivel-armchair-kelinge-black-00570830/
UK,Storage,,199,https://www.ikea.com/gb/en/images/products/ekenaeset-armchair-kelinge-grey-turquoise__1109684_pe870150_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/ekenaeset-armchair-kelinge-grey-turquoise-30533488/
UK,Storage,,65,https://www.ikea.com/gb/en/images/products/ikea-ps-loemsk-swivel-armchair-white-red__0726690_pe735385_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/ikea-ps-loemsk-swivel-armchair-white-red-10407136/
UK,Storage,,229,https://www.ikea.com/gb/en/images/products/strandmon-wing-chair-skiftebo-yellow__0325450_pe517970_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/strandmon-wing-chair-skiftebo-yellow-40361896/
UK,Storage,,250,https://www.ikea.com/gb/en/images/products/strandmon-wing-chair-kelinge-beige__0950941_pe800821_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/strandmon-wing-chair-kelinge-beige-40492816/
UK,Storage,,229,https://www.ikea.com/gb/en/images/products/strandmon-wing-chair-vibberbo-black-beige__0761768_pe751434_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/strandmon-wing-chair-vibberbo-black-beige-80456958/
UK,Storage,,429,https://www.ikea.com/gb/en/images/products/kivik-1-seat-sofa-bed-tibbleby-beige-grey__1130878_pe877951_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/kivik-1-seat-sofa-bed-tibbleby-beige-grey-s79470234/
UK,Storage,,19,https://www.ikea.com/gb/en/images/products/smaskrake-multi-functional-child-chair-table-green__1333199_pe946400_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/smaskrake-multi-functional-child-chair-table-green-60569744/
UK,Lighting,,50,https://www.ikea.com/gb/en/images/products/kallax-shelving-unit-white__0644757_pe702939_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/kallax-shelving-unit-white-80275887/
UK,Lighting,"Regular price: £85
£ 85",75,https://www.ikea.com/gb/en/images/products/kullen-chest-of-6-drawers-white__0651643_pe706985_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/kullen-chest-of-6-drawers-white-90309245/
